article_id,date,category,author,title,content,viral
13883,2015-12-01,talk.politics.mideast,Author_41,"Peter, I believe this is your most succinct post to date. Since","Peter, I believe this is your most succinct post to date. Since you have nothing to say, you say nothing! It's brilliant. Did you think of this all by yourself? -marc...",0
75866,2016-12-03,rec.autos,Author_46,I just read articals on this in Road and Track and Car,"I just read articals on this in Road and Track and Car and Driver (Is that one mag or two? =B^), and I was wondering if people out there have any opinions that differed from what these mags have to say... I'm looking at the following three SUV's; anyone who's driven all three have any strong opinions? Ford Explorer Toyota 4Runner Nissan Pathfinder Currently I'm leaning toward the Toyota, 'cause I've had big success with Toyota trucks in the past, and 'cause I think it's the best looking of the three. But I thought I'd see if anyone has any...",1
24169,2016-12-01,talk.politics.mideast,Author_31,"From: Center for Policy Research <cpr> Subject: Arab H.R. Assoc.,Nazareth The Arab","From: Center for Policy Research <cpr> Subject: Arab H.R. Assoc.,Nazareth The Arab Association for Human Rights P.O. Box 215 Nazareth, 16101 Israel Phone (972)-6-561923 Fax (972)-6-564934 The Arab Association for Human Rights (HRA) was formed in 1988 to address discriminatory practices and human rights abuses by Israel against its Palestinian citizens. It is a unique association concerned with the civil, political, economic, social and cultural rights of the Palestinian national minority in Israel. Among the issues of concern are land confiscation, education, prison conditions, unemployment, torture and the unequal allocation of Israel's resources. Today there are around 800,000 Palestinian Arabs...",0
85340,2015-05-22,rec.autos,Author_25,"Well, an LT1 Blazer wouldn't come close to a GMC Typhoon in","Well, an LT1 Blazer wouldn't come close to a GMC Typhoon in speed, I think its too heavy. As it is right now, the normal 210HP 5.7 engine has plenty of power for a full size Blazer. Of course, I'm not saying GM shouldn't put the LT1 in it :). It seems like they have a real winner with that engine. Why spend so much more money into getting a 32 valve DOHC V8 when you can take an LT1? It even seems to get pretty good gas MPG (for a 5.7, that is.) [talking about Impala SS] Yeah, it's...",1
24322,2015-12-14,talk.politics.mideast,Author_16,Who is the you Arabs here. Since you are replying to my,"Who is the you Arabs here. Since you are replying to my article you are assuming that I am an Arab. Well, I'm not an Arab, but I think you are brain is full of shit if you really believe what you said. The bombardment of civilian and none civilian areas in Lebanon by Israel is very consistent with its policy of intimidation. That is the only policy that has been practiced by the so called only democracy in the middle east!...",0
81066,2016-08-16,rec.autos,Author_4,"Yes, there is: consumer confusion. In the early 80's with the fuel","Yes, there is: consumer confusion. In the early 80's with the fuel crisis, etc., everyone wanted better fuel mileage. Diesel fuel was the cheapest fuel available and usually provides better mileage than comparable gasoline engines. So, GM decided to conver their 350 gas engine into a diesel engine (I think was a 5.7 liter). Big mistake. The engine was not redesigned, but converted. The engine could not handle the higher compression, etc. Lots of problems with these cars. This thew up a big red flag to the casual observer -- DON""T BUY A DIESEL. THEY ARE BAD. This was a...",1
83000,2016-12-05,rec.autos,Author_15,I would be concerned about how the car was driven and how,"I would be concerned about how the car was driven and how well it was maintained. I own a turbocharged one, and I would never buy a turbocharged vehicle unless I knew the owner and his/her driving/maintenance habits. I have been wondering about that myself. The '90 AWD models and the '91s were identical (except for the ABS option). Yes. Some owners had problems with the transaxles. Using synthetic lubricants in the transaxles solved the problem in most cases. The problem was not unique to the AWDs, however. It was common to all models. The Galant VR4 and GSX had...",1
93202,2016-03-22,talk.politics.mideast,Author_32,You are such a LOSER!!!! ******************************************************************** System: fourd.com Phone: 617-494-0565 Cute quote:,You are such a LOSER!!!! ******************************************************************** System: fourd.com Phone: 617-494-0565 Cute quote: Being a computer means never having to say you're sorry ********************************************************************...,0
58503,2015-06-11,talk.politics.mideast,Author_20,I asked some simple questions at different occations. I don't understand why,"I asked some simple questions at different occations. I don't understand why some people insulted me for those SIMPLE questions! Anyway, I didn't reply to them with the same language and I won't, because 1. There is no need 2. There is no benefit 3. I don't have time to reply to those garbages By the way, do you want to know who am I? I am not a NATIONALIST Arab of 1967. I am not a COMONIST Arab of 70's. Are you sure that you want to hear my name? I am a MUSLIM FIGHTER. I am the same...",0
22676,2016-01-25,talk.politics.mideast,Author_23,If the attack was justified or not is at least debatable. But,"If the attack was justified or not is at least debatable. But this is not the issue. The issue is that you were cheering DEATH. Read again your original article. You find Israeli government responsible for those dead soldiers, that's a reasonable (debatable) point, but feel satisfaction from dead bodies is NOT REASONABLE by any standards. No matter how you try to justify it. I may understand your frustration against israeli occupation in S Lebanon. But no matter what you say, I can not understand your satisfaction for dead bodies. I have a question for you. Let's assume a bosnian...",0
15593,2015-05-10,rec.autos,Author_28,"actually, disabled persons have been known to drive in SCCA races. i'd","actually, disabled persons have been known to drive in SCCA races. i'd be careful about making sweeping generalizations here. i'd prefer a manual transmission, but the early SHO had an awful transmission that felt like it came out of a truck or something. it was almost enough to make me want an automatic....",1
93442,2015-08-13,talk.politics.mideast,Author_13,@ From: Kayhan Havai # 1026 @ -------------------------- @ @ o Dr.,"@ From: Kayhan Havai # 1026 @ -------------------------- @ @ o Dr. Namaki, deputy minister of health stated that infant @ mortality (under one year old) in Iran went down from 120 @ per thousand before the revolution to 33 per thousand at @ the end of 1371 (last month). @ @ o Dr Namaki also stated that before the revolution only @ 254f children received vaccinations to protect them @ from various deseases but this figure reached 93at @ the end of 1371. Something funny happens to the percent sign. In paragraph above, the vaccination rate went from 25...",0
58623,2016-04-05,rec.autos,Author_24,"Is there a Honda mailing list, and if so how do I","Is there a Honda mailing list, and if so how do I subscribe to it?...",1
19634,2016-12-31,talk.politics.mideast,Author_6,The borders of the Jewish state as drawn by the U.N. included,"The borders of the Jewish state as drawn by the U.N. included the areas which contained mostly Jews, that's what the surveys and the numerous commitees where after when they visited here. I never touched an Arab during my army service and never voted for anyone more right than the Green party. Will I be spared by these ""humanist standards""? (or will anyone stop to consider this before sloughtering me?) I doubt it. And not only because of the past record of murdering helpless women and children since the turn of the century up to these days....",0
68979,2015-03-17,rec.autos,Author_30,I agree with Jeff's reply. I've never changed the brake fluid except,"I agree with Jeff's reply. I've never changed the brake fluid except when having a brake job, which is usually at around 80,000 miles (alot of freeway driving). However, I will start to do this as preventative maintenance on my new car. Also, there are brake system flushing agents that can be used but the problem is that if any of the agent is left in the system, it can cause problems, so it's been recommended NOT to use them unless you are 100% certain that you can remove all of the flushing agent. Just for your info, I was...",1
82045,2016-08-08,rec.autos,Author_32,an excellent automatic can be found in the subaru legacy. it switches,"an excellent automatic can be found in the subaru legacy. it switches to ""sport"" mode when the electronics figure it, not when the driver sets the switch.. which is the proper way to do it, IMO. so what does ""sport"" mode entail? several things: 1) revving to red line (or to the rev limiter in the case of the legacy) 2) delayed upshifts. (i.e. if you lift off briefly, it will remain in the low gear. this is handy if you are charging through corners and would like to do without the distraction of upshifts when there's another curve approaching)...",1
59615,2015-05-08,rec.autos,Author_6,Drivel. I received delivery of my '93 Trans Am 7 weeks after,"Drivel. I received delivery of my '93 Trans Am 7 weeks after I ordered (promised 6-8 weeks), and paid $400 over dealer invoice, which is a $1425 discount off of MSRP. I only have about 370 miles on it, but so far no problems, and it seems very well put together. By the way, first year production will be about 60,000 cars. Dealers would like you to think there is a shortage, but considering they only sold about 90,000 F bodies last year and the new model was introduced mid-year, that is not going to create a shortage. GM planning...",1
49602,2016-04-22,rec.autos,Author_44,<apparently you're not a woman - my husband hates the auto door,"<apparently you're not a woman - my husband hates the auto door locks <feels safer in a car that locks easily (in addition to watching around <in a secluded spot, etc - have my keys ready to open the door so I'm...",1
91300,2016-11-24,talk.politics.mideast,Author_10,First of all I never said the Holocaust. I said before the,"First of all I never said the Holocaust. I said before the Holocaust. I'm not ignorant of the Holocaust and know more about Nazi Germany than most people (maybe including you). What I resent is ignorant statements that call people names when they disagree with your position. Opposing the atrocities commited by the Israeli governement hardly qualifies as anti-semitism. If you think name calling is a valid form of argument in intellectual circles, you need to get out more often. I don't think the suffering of some Jews during WWII justifies the crimes commited by the Israeli government. Any attempt...",0
27290,2015-07-27,rec.autos,Author_42,"The VW ""Thing"" Kubelwagen lookalike is still manufactured in Mexico and possibly","The VW ""Thing"" Kubelwagen lookalike is still manufactured in Mexico and possibly South America. Good luck importing one-- They probably don't meet US safety and pollution requirements. There are mechanics and junkyards which specialize in VW; they might be helpful for finding a ""Thing"" unless the WWII re-enacters have grabbed them all. The WWII Kubelwagen was the German equivalent of the Jeep, but was not 4- wheel drive. One is on display at the Patton Museum at Fort Knox, Kentucky, also the rare ""Schwimwagen"" (sp?) amphibious version, in full-scale dioramas. Highly recommended! --...",1
47196,2015-03-28,talk.politics.mideast,Author_33,>Bull shit. There is no reason in the world why we can't,">Bull shit. There is no reason in the world why we can't say that >taking views analogous to the KKK's or some such organization is >wrong. There is no reason why some morality may not be legislated. As >it is we do not allow theft, or murder, or rape. Why should we allow >hateful sppech whose only purpose is to stir anger and violence. >Harry. I think the answer to Mr. Mayamsky's question can be found in the ^^^^^^^^^^^^^^(Mr. Mamaysky's) first amendment to the US Constitution. Amendment I (1791) Congress shall make no law respecting an establishment of religion, or...",0
76287,2015-08-12,rec.autos,Author_30,I don't know if it's as much an issue of their ablility,"I don't know if it's as much an issue of their ablility to handle the power as it is the power they lose (in the torque converter, etc). However, if you encounter a '93 Formula with 5.7L & 6-Speed Manual, You'll be SOL, I'm afraid. ;) BTW, I know of what I speak as a former owner of a 5.7L Auto IROC (1989) and current owner of the aforementioned car... Chris S. -- -------------------------------------------------------------------------------- Chris Silvester | ""Any man capable of getting himself elected President chriss@sam.amgen.com | should by no means be allowed to do the job"" chriss@netcom.com | -...",1
83273,2015-09-22,rec.autos,Author_49,QUESTION: what's your experience with car wash wax? This is the liquid,"QUESTION: what's your experience with car wash wax? This is the liquid type of wax in bottles that you pour it in water, sponge it on you car, hose it off, and dry it with cloth. Many people have used it. It is very easy to work with and gives seeminly the same visual results as that of paste type of wax. But, does it last long? Does it have any negative effects to car paint? Can you forward your reply directly to my email id? Thanks....",1
10568,2016-05-25,talk.politics.mideast,Author_34,"Already say it the other week on CBC Snoozeworld Yeah, I thought","Already say it the other week on CBC Snoozeworld Yeah, I thought Bonanza was full of lies about the West... Why the hell would such an oil rich (and hydroelectric potential to be exploited) spend billions on a nuclear energy programme? Yeah, and we have every reason in the world to trust the Iranian regime. After all, they've been *so* forward with us in the past.... Maybe he *is* God!...",0
40115,2015-02-13,rec.autos,Author_14,Checker Motors went out of business in 1982. It's hard to get,"Checker Motors went out of business in 1982. It's hard to get old Checkers that are worth restoring, since almost every one was a fleet vehicle that was driven into the ground. If you can get a body in decent shape the mechanicals should all be available _somewhere_ - Checker used whatever parts were around. For instance, I had a Chevy straight six and a GMC Truck radiator and a Ford rear in mine. Actually, you want a Checker Special if you can find one....",1
23069,2016-03-26,talk.politics.mideast,Author_34,"Actually, just after the FIRST world war, many Muslims were killed by","Actually, just after the FIRST world war, many Muslims were killed by Serbs. Under Serbian-led regime between the two world wars, many Croats were also killed (especially during the dictatorship introduced on Jan. 6, 1929). Some Croats formed a resistance movement ""Ustashas"" (Insurgents) and were forced into exile, to fascist Italy, which sheltered them. In exile, they practiced a terrorist approach to liberating Croatia; while Croats in Croatia followed the approach of peaceful negotiations under the leadership of Vladko Macek. After the Axis powers took control in the SECOND world war, Vladko Macek refused to collaborate, so Ustashas were brought...",0
75444,2016-11-20,talk.politics.mideast,Author_9,Are you suggesting that we should forget the cold-blooded genocide of 2.5,"Are you suggesting that we should forget the cold-blooded genocide of 2.5 million Muslim people by the Armenians between 1914 and 1920? But most people aren't aware that in 1939 Hitler said that he would pattern his elimination of the Jews based upon what the Armenians did to Turkish people in 1914. 'After all, who remembers today the extermination of the Tartars?' (Adolf Hitler, August 22, 1939: Ruth W. Rosenbaum (Durusoy), ""The Turkish Holocaust - Turk Soykirimi"", p. 213.) I refer to the Turks and Kurds as history's forgotten people. It does not serve our society well when most people...",0
46202,2015-11-30,talk.politics.mideast,Author_34,Accounts of Anti-Armenian Human Right Violations in Azerbaijan #012 Prelude to Current,"Accounts of Anti-Armenian Human Right Violations in Azerbaijan #012 Prelude to Current Events in Nagorno-Karabakh +---------------------------------------------------------+ | | | I saw a naked girl with her hair down. They were | | dragging her. She kept falling because they were | | pushing her and kicking her. She fell down, it was | | muddy there, and later other witnesses who saw it from | | their balconies told us, they seized her by the hair | | and dragged her a couple of blocks, as far as the | | mortgage bank, that's a good block and a half...",0
85066,2016-05-01,talk.politics.mideast,Author_16,"If a landlord sells an apartment building ""vacant"" to another landlord and","If a landlord sells an apartment building ""vacant"" to another landlord and fails to notify his tenants, they just might find themselves out on the street all of a sudden. The seller may be a scoundrel and a crook but this doesn't make the buyer a ""thief"", as Israelis are so often called here on tpm. The Arabs that lived along the coast in Western Palestine, later to be called Israel, were shafted by their brother Arabs just as they've been shafted for decades since then by their Arab bretheren. Somehow, though, the Arab call has continued to blame Israel,...",0
99353,2015-07-04,rec.autos,Author_50,"if you want to annoy geico, call them up...give fake name...but real","if you want to annoy geico, call them up...give fake name...but real car specs..get a quote and then tell them they are more expensive than your current state farm/allstate insurance. they will still send you quote etc. then you can tear up their quote and stuff it in the prepaid return envelope and mail it back to them. actually they were $12 more than my current state farm rates....",1
86122,2015-03-28,rec.autos,Author_7,"Same engine, different state of tune (less hp and maybe more torque).","Same engine, different state of tune (less hp and maybe more torque). My friend at work regularly takes 6 people in his and it seems to haul around just fine....",1
17923,2016-01-18,talk.politics.mideast,Author_40,"It is the Croats that were divided, at least 70,000 were left","It is the Croats that were divided, at least 70,000 were left in Serbian province of Vojvodina. It is the Muslims that were divided, 200,000 left in the region of Sanjak that now belongs to Serbia. If the Serbs in Croatia and Bosnia-Hercegovina want self-determination, the same right should be given to Croats and Muslims, and Albanians and Hungarians in Serbia. Why should Serbia be exempted?...",0
61990,2016-01-20,talk.politics.mideast,Author_46,"So what are you? I don't think that, you are just making","So what are you? I don't think that, you are just making noise. That's true. I try to learn from people who know more than me, not from useless farts. Of course, I have said that more times in this group than anyone else, I'd think. Quite true, that's why I am so careful in selecting quotes. Oh bullshit. Fanatic my bum. Prove your blah or cork it. How would you know what I consider? Read my mind? I looked very closely at a large number of sources. You have no idea what you are talking about. That's true about...",0
69829,2015-05-05,rec.autos,Author_9,^^^^^^^^^^ I have a 92 Wrangler Sahara and paid $14.1 new (including,"^^^^^^^^^^ I have a 92 Wrangler Sahara and paid $14.1 new (including the rebate). ^^^^^^^^^^^^^^^^^^ After driving a CJ-5 for 6 years, that fancy stuff is pretty nice. ^^^^^^^^^^^ I like my Wrangler, but when doing some serious off roading, it can't keep up with a CJ-5 because of ground clearance and limited suspension travel. I do have a winch and would like to get an ARB air-locker in the future. I love the 4.0....",1
78202,2015-12-02,rec.autos,Author_29,I have to disagree with this. I have a 92 Z28 with,"I have to disagree with this. I have a 92 Z28 with a 350 and a 4-speed auto w/ overdrive, and it is really better that way. Chevy autos are reknowned for their long life and ability to handle copious amount of power. I live in the Dallas area, and a manual would be much harder to drive in the traffic here. Now if I still lived out in the sticks like I used to, a manual would be more fun. Safety-wise, an auto is less distracting...I would hate to have to be shifting gears while I was trying to...",1
84055,2016-04-15,talk.politics.mideast,Author_16,"""Society"" is impossible without some shared set of moralities, sense of what","""Society"" is impossible without some shared set of moralities, sense of what is ""god"" and what is ""bad"" action and basic foundation of something ""universal""....",0
71344,2016-05-31,rec.autos,Author_18,W >>will NOT do work on internal engine components of the SHO,"W >>will NOT do work on internal engine components of the SHO engine. This W > W >Good thing, too. W > W >At about 25K miles my cam sensor went south. 2 different Ford W >dealers tried 5 or 6 different ""fixes"", none of which worked. Finally W >I took it down the street to the local mechanic. This guy reads the W >code off the engine computer, says ""Bad cam sensor"", and fixes it in W >an hour... A friend of mine had some sensors damaged by flood waters, Ford denys any sensors are registering bad. He and...",1
51467,2016-06-19,rec.autos,Author_17,"."" I'm surprised. I know of a local case where a guy","."" I'm surprised. I know of a local case where a guy took his Saturn back five times to complain they hadn't properly eliminated a rattling noise...so Saturn gave him a new car....",1
74990,2016-04-25,talk.politics.mideast,Author_11,Elias Davidsson writes... ED> The following are quotations from Zionist leaders. They,"Elias Davidsson writes... ED> The following are quotations from Zionist leaders. They appear in ED> numerous scholarly works dealing with the Palestine question. I urge those ED> who have access to original sources, to verify the authenticity of the ED> source and post here their finding, adhering to the truth whatever it be. It is your responsibility for posting quotes in context. Your phony 'research center' is the source of the most unscholarly, out-of-context, agenda-ridden, and sophmoric propaganda that I have ever seen. Don't believe me, folks? Let's take a little stroll through a few of Elias Davidsson's contributions to...",0
15848,2016-04-01,rec.autos,Author_17,"I saw an interesting product in NY Auto Show, and would like","I saw an interesting product in NY Auto Show, and would like to hear your comments. MILITECH(tm) is yet another oil additive. But the demonstration of this product really impressive, if it didn't cheat. The setup of the demo is fairly simple. A cone shaped rotor is half submerged in a small oil sink, filled with motor oil. The rotor is powered by an electronic motor. A metal pad is pressed against the rotor using the torque wrench until the rotor stopped by friction. The torque that is needed to stop rotor is read from the torque wrench. Before MILITECH...",1
67733,2016-05-05,rec.autos,Author_22,Hello again. Anyone here done any tinting work. What are the best,"Hello again. Anyone here done any tinting work. What are the best brands out there? How about applications...I heard there was a water based brand that s you can move around, till it's just right, and you then let it dry like that. Also I would consider having it professionally done, how much around Wisconsin or Chcago area, that does a decent job, fairly cheap. (college kid) Thanks for all the info... Ps. What is the maximum legal tint limit....",1
44973,2016-07-03,talk.politics.mideast,Author_50,"# |> > # |> >It is NOT a ""terrorist camp"" as","# |> > # |> >It is NOT a ""terrorist camp"" as you and the Israelis like # |> >to view the villages they are small communities with kids playing soccer # |> >in the streets, women preparing lunch, men playing cards, etc..... # |> >SOME young men, usually aged between 17 to 30 years are members of # |> >the Lebanese resistance. Even the inhabitants of the village do not # |> >know who these are, they are secretive about it, but most people often # |> >suspect who they are and what they are up to. These young...",0
97841,2015-08-03,talk.politics.mideast,Author_18,From: Center for Policy Research <cpr> Subject: Hebrew labor: racist connotations AVODA,"From: Center for Policy Research <cpr> Subject: Hebrew labor: racist connotations AVODA IVRIT - HEBREW LABOR --------------------------------- ""Hebrew labor"" is a concept which has served the Zionist movement for a long time. It has a double-barreled message: 1) The new Jew must learn to do physical labor, i.e. working the land; 2) The land in this country must pass into Jewish hands, i.e. to the same new Jew who has ""learned"" to work it. Both aspects of the two-pronged concept of ""Hebrew labor"" have racist connotations. On the one hand, the diaspora Jew's lack of training in physical labor is...",0
86550,2016-07-20,talk.politics.mideast,Author_38,"To Andi, I have to disagree with you about the value of","To Andi, I have to disagree with you about the value of Israeli news sources. If you want to know about events in Palestine it makes more sense to get the news directly from the source. EVERY news source is inherently biased to some extent and for various reasons, both intentional and otherwise. However, the more sources relied upon the easier it is to see the ""truth"" and to discern the bias. Go read or listen to some Israeli media. You will learn more news and more opinion about Israel and Palestine by doing so. Then you can form your...",0
79316,2016-02-07,rec.autos,Author_9,"In Des Moines, Iowa, about a year ago, some kid dropped a","In Des Moines, Iowa, about a year ago, some kid dropped a rock from an overpass and hit car just behind the windshield. It put a dent in the roof, so I guess I was lucky it hit metal. It's frustrating that we can't do much. Bother the city government to put covers on all overpasses? Slow down/speed up a bit when driving under all overpasses in the city? I like the first better, but that will take time and lots of people talking to the city governments. Just another .02......",1
74071,2016-08-20,talk.politics.mideast,Author_6,The above explained propaganda which certainly has nothing to do with the,"The above explained propaganda which certainly has nothing to do with the true facts is also today the main source of ASALA/SDPA/ARF terrorists' illegal activities that still try to make money out of the bodies of the innocent victims of the Turkish genocide. The criminal acts of the x-Soviet Armenian Government come directly under the scope of the Convention on Genocide adopted by the General Assembly of the United Nations on December 8, 1948, containing the following provisions: The Contracting Parties, having considered the declaration made by the General Assembly of the United Nations in its Resolution 95 (1) dated...",0
40427,2016-03-23,talk.politics.mideast,Author_5,"I don't like this comment about ""Typical"" thinking. You could state your","I don't like this comment about ""Typical"" thinking. You could state your interpretation of Exodus without it. As I read Exodus I can see a lot of killing there, which is painted by the author of the bible in ideological/religious colors. The history in the desert can be seen as an ethos of any nomadic people occupying a land. That's why I think it is a great book with which descendants Arabs, Turks and Mongols can unify as well....",0
56076,2016-01-29,rec.autos,Author_28,Several years ago GM was having trouble with the rings sticking on,"Several years ago GM was having trouble with the rings sticking on the 5.7 diesel. They traced a cause to the use of 10W-40 oil. They would not honor warranty work if 10W-40 was used (if my memory serves me). 5-30, 10-30 or 20 50 was OK'd though....",1
25525,2015-09-12,rec.autos,Author_36,"I once had a sparking problem with my '65 Mustang, and simply","I once had a sparking problem with my '65 Mustang, and simply changing the spark plug wires fixed it....",1
38199,2015-09-04,rec.autos,Author_38,1954 MG-TF with frame-up restoration in early '70's - a local show,"1954 MG-TF with frame-up restoration in early '70's - a local show winner! Driven very little and stored inside since then - mostly collected dirt & dust. Needs attention to brake cylinders (like all MG-T's) but otherwise ready to run. Chrome & paint not fancy but it is mechanically excellent. The engine, a 1250cc, was completely overhauled by a machine shop. It is priced at $12,000. 1953 MG-TD Good shape but hasn't been run since '70's. Needs engine work, but no rust and everything is with it including a top, side curtains and carpet that were new and haven't seen...",1
81511,2015-06-02,rec.autos,Author_3,Rob Reilly: This is just not so - many of the earliest,"Rob Reilly: This is just not so - many of the earliest cars had their steering controls in the center of the vehicle, and there is no discernible pattern of left- or right-hand steering controls until a few years into the 20th century, when, in America at least, left-hand wheels became the pattern. The mule team (or horses, I imagine) explanation, however, seems to have some merit. Dan dh3q@andrew.cmu.edu Carnegie Mellon University Applied History...",1
48715,2016-09-25,rec.autos,Author_16,"They light the highways in Texas? Funny, everywhere else I've been they","They light the highways in Texas? Funny, everywhere else I've been they only light 'em at junctions. I won't even get into how much road markings vary between states and localities except to say that there are some areas where markings are essentially nonexistant. I suspect you have very limited experience -- US freeways vary dramatically, particularly between states. I can name a number of interstate highways in various parts of the country where 130 would be very optimistic in any car. I'm not sure what you call ""quite severe"" in terms of road deviations but I suspect every single...",1
52981,2015-03-23,talk.politics.mideast,Author_43,"From: _Quantum_ Magazine, March/April 1993 pages 42-46 The Problem Book of Anania","From: _Quantum_ Magazine, March/April 1993 pages 42-46 The Problem Book of Anania of Shirak ------------------------------------ ""On the ancient peak of Ararat The centuries have come like seconds And passed on."" -Avetik Issahakian by Yuri Danilov Some years ago Journalists interviewing celebrities liked to ask them: ""What books would you take with you if you were to go off on a space flight?"" And though the number of books allowed on the trip varied from 10 to 30, depending on the type of spacecraft and the generosity of the interviewer, and celebrities are people of the most varied tastes, ages, and...",0
84632,2016-02-24,rec.autos,Author_30,"Actually, I've heard that some M1 Abrams tank commanders take the governers","Actually, I've heard that some M1 Abrams tank commanders take the governers off their turbine engines, and can acheive 90MPH on a paved road. Never seen it myself, but I believe it... [stuff deleted] ---------------------------------------------------------------------------- ___ / _ \ '85 Mustang GT Bob Pitas / /USH 14.13 @ 99.8 bpita@ctp.com / /| \ Up at NED, Epping, NH (Cambridge, MA) """" - Geddy Lee (in YYZ) Disclaimer: These opinions are mine, obviously, since they end with my .sig!...",1
